"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP8,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8","24","TestPoint","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"C1,C14","2","10uF 25V","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C5,C6,C10,C15,C17,C107,C108,C109","9","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","0.1uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7,C8,C206,C207,C208,C209","6","470uF","","","","Capacitor_SMD:CP_Elec_10x10.5","~"
"C9,C16","2","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11,C18","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C12,C13,C210,C211,C212,C213","6","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C200,C201,C202,C203,C204,C205","182","C","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C128,C129","2","C","","","","Capacitor_THT:C_Radial_D10.0mm_H20.0mm_P5.00mm","~"
"D1,D2","2","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"IC1","1","LT3045EMSE#PBF","","","","components:SOP65P490X110-13N","http://cds.linear.com/docs/en/datasheet/3045f.pdf"
"IC2","1","LT3094EMSE#PBF","","","","components:SOP65P490X110-13N","https://www.analog.com/media/en/technical-documentation/data-sheets/LT3094.pdf"
"J1","1","DB2EKM-7.62-3P-GN-S","","","","TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-03_1x03_P5.08mm_Horizontal","~"
"J2,J3","2","Conn_01x19_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x19_P2.54mm_Vertical","~"
"J4,J5","2","RCA_x2","","","","Inputs:CONN-TH_XDJK-0271-1650","~"
"K1,K2,K3,K4,K5,K6,K7,K8","8","Y14x-1C-xxDS","","","","Relay_THT:Relay_SPDT_HsinDa_Y14","http://www.hsinda.com.tw/upload/file/Y14-20200430135145.pdf"
"L1,L2,L3,L4","4","100uH","","","","Inductor_SMD:L_12x12mm_H8mm","~"
"L5,L6","2","4.7uH","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","~"
"PS1,PS2","2","IRM-20-15","","","","Converter_ACDC:Converter_ACDC_MeanWell_IRM-20-xx_THT","http://www.meanwell.com/Upload/PDF/IRM-20/IRM-20-SPEC.PDF"
"R1","1","64.9k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73","26","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","49.9k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","16.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115","86","R","","","","Resistor_SMD:R_MiniMELF_MMA-0204","~"
"R116,R117","2","130k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R118,R119","2","15k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1,U2","2","AP3211K","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.diodes.com/assets/Datasheets/AP3211.pdf"
"U3,U4,U5,U6,U7,U8,U9,U10,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25","20","OPA1612AxD","","","","Package_SO:SOIC-8_5.3x6.2mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa1612.pdf"
"U11","1","ULN2803A","","","","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uln2803a.pdf"
"U12,U13","2","TCA9548APWR","","","","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tca9548a.pdf"
"VR1,VR2,VR3,VR4,VR5,VR6,VR7,VR8,VR9,VR10,VR11,VR12,VR13,VR14,VR15,VR16,VR17,VR18,VR19,VR20,VR21,VR22,VR23,VR24,VR25,VR26,VR27,VR28,VR29,VR30,VR31,VR32,VR33,VR34,VR35,VR36,VR37,VR38,VR39,VR40,VR41,VR42","42","MCP41HV51-103E_ST","","","","components:SOP65P640X120-14N","https://componentsearchengine.com/Datasheets/2/MCP41HV51-103E_ST.pdf"
