Comment,Designator,Footprint,LCSC,Quantity
C,C160,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR35,SOP65P640X120-14N,,1
C,C62,C_0805_2012Metric,,1
470uF,C208,CP_Elec_10x10.5,,1
C,C87,C_0805_2012Metric,,1
C,C31,C_0805_2012Metric,,1
R,R16,R_MiniMELF_MMA-0204,,1
C,C171,C_0805_2012Metric,,1
C,C200,C_0805_2012Metric,,1
C,C73,C_0805_2012Metric,,1
470uF,C209,CP_Elec_10x10.5,,1
C,C184,C_0805_2012Metric,,1
C,C80,C_0805_2012Metric,,1
4.7k,R72,R_0805_2012Metric,,1
C,C161,C_0805_2012Metric,,1
C,C91,C_0805_2012Metric,,1
4.7k,R57,R_0805_2012Metric,,1
100uH,L1,L_12x12mm_H8mm,,1
C,C101,C_0805_2012Metric,,1
4.7k,R68,R_0805_2012Metric,,1
OPA1612AxD,U5,SOIC-8_5.3x6.2mm_P1.27mm,,1
R,R80,R_MiniMELF_MMA-0204,,1
C,C186,C_0805_2012Metric,,1
C,C190,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR4,SOP65P640X120-14N,,1
C,C173,C_0805_2012Metric,,1
RCA_x2,J4,CONN-TH_XDJK-0271-1650,,1
4.7uH,L5,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,,1
OPA1612AxD,U7,SOIC-8_5.3x6.2mm_P1.27mm,,1
4.7k,R56,R_0805_2012Metric,,1
C,C153,C_0805_2012Metric,,1
C,C72,C_0805_2012Metric,,1
4.7k,R53,R_0805_2012Metric,,1
OPA1612AxD,U15,SOIC-8_5.3x6.2mm_P1.27mm,,1
MCP41HV51-103E_ST,VR28,SOP65P640X120-14N,,1
AP3211K,U2,SOT-23-6,,1
R,R84,R_MiniMELF_MMA-0204,,1
TestPoint,BP5,TestPoint_Pad_1.0x1.0mm,,1
C,C178,C_0805_2012Metric,,1
R,R110,R_MiniMELF_MMA-0204,,1
R,R42,R_MiniMELF_MMA-0204,,1
10nF,C9,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR15,SOP65P640X120-14N,,1
C,C84,C_0805_2012Metric,,1
R,R100,R_MiniMELF_MMA-0204,,1
4.7k,R69,R_0805_2012Metric,,1
C,C96,C_0805_2012Metric,,1
470uF,C7,CP_Elec_10x10.5,,1
100nF,C6,C_0805_2012Metric,,1
R,R104,R_MiniMELF_MMA-0204,,1
C,C158,C_0805_2012Metric,,1
TestPoint,BP6,TestPoint_Pad_1.0x1.0mm,,1
MCP41HV51-103E_ST,VR2,SOP65P640X120-14N,,1
R,R13,R_MiniMELF_MMA-0204,,1
C,C23,C_0805_2012Metric,,1
R,R106,R_MiniMELF_MMA-0204,,1
