Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF 25V,C_0805_2012Metric,100.11875,-161.55,90.0,top
C10,100nF,C_0805_2012Metric,105.55,-172.0,180.0,top
C100,C,C_0805_2012Metric,241.817597,-73.043979,90.0,top
C101,C,C_0805_2012Metric,249.157597,-90.66898,0.0,top
C102,C,C_0805_2012Metric,239.817597,-73.043979,-90.0,top
C103,C,C_0805_2012Metric,235.067597,-98.793979,-90.0,top
C104,C,C_0805_2012Metric,236.566053,-83.459044,-90.0,top
C105,C,C_0805_2012Metric,228.617597,-74.243979,0.0,top
C106,C,C_0805_2012Metric,238.567597,-94.743979,90.0,top
C107,100nF,C_0805_2012Metric,89.63544,-220.615572,90.0,top
C108,100nF,C_0805_2012Metric,185.0,-236.05,-90.0,top
C109,100nF,C_0805_2012Metric,169.95,-206.5,0.0,top
C11,22uF,C_0805_2012Metric,105.55,-174.0,180.0,top
C110,C,C_0805_2012Metric,211.362325,-90.65984,0.0,top
C111,C,C_0805_2012Metric,199.272325,-98.734839,90.0,top
C112,C,C_0805_2012Metric,200.072325,-91.484839,0.0,top
C113,C,C_0805_2012Metric,203.022325,-83.734839,0.0,top
C114,C,C_0805_2012Metric,197.272325,-98.784839,-90.0,top
C115,C,C_0805_2012Metric,196.222325,-64.484839,0.0,top
C116,C,C_0805_2012Metric,186.822325,-66.484839,0.0,top
C117,C,C_0805_2012Metric,204.022325,-73.034839,90.0,top
C118,C,C_0805_2012Metric,201.001415,-79.620293,180.0,top
C119,C,C_0805_2012Metric,202.522325,-98.634839,90.0,top
C12,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.6025,-107.315,0.0,top
C120,C,C_0805_2012Metric,195.222325,-86.184839,0.0,top
C121,C,C_0805_2012Metric,186.822325,-64.484839,180.0,top
C122,C,C_0805_2012Metric,198.897332,-83.318676,-90.0,top
C123,C,C_0805_2012Metric,190.822325,-74.234839,0.0,top
C124,C,C_0805_2012Metric,202.972325,-81.734839,180.0,top
C125,C,C_0805_2012Metric,204.572325,-88.234839,180.0,top
C126,C,C_0805_2012Metric,202.022325,-73.034839,-90.0,top
C127,C,C_0805_2012Metric,200.772325,-94.734839,90.0,top
C128,C,C_Radial_D10.0mm_H20.0mm_P5.00mm,160.655,-62.905,-90.0,top
C129,C,C_Radial_D10.0mm_H20.0mm_P5.00mm,171.45,-62.905,-90.0,top
C13,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.812558,-106.353994,0.0,top
C130,C,C_0805_2012Metric,169.23,-72.39,0.0,top
C131,C,C_0805_2012Metric,162.16832,-81.255577,90.0,top
C132,C,C_0805_2012Metric,297.334265,-175.584303,0.0,top
C133,C,C_0805_2012Metric,201.974265,-181.259304,-90.0,top
C134,C,C_0805_2012Metric,314.709272,-188.96814,180.0,top
C135,C,C_0805_2012Metric,252.17475,-213.50505,180.0,top
C136,C,C_0805_2012Metric,354.062332,-144.963676,0.0,top
C137,C,C_0805_2012Metric,201.174265,-188.509304,180.0,top
C138,C,C_0805_2012Metric,274.964,-207.409,90.0,top
C139,C,C_0805_2012Metric,234.97475,-206.95505,-90.0,top
C14,10uF 25V,C_0805_2012Metric,60.0,-166.05,90.0,top
C140,C,C_0805_2012Metric,242.77475,-215.50505,180.0,top
C141,C,C_0805_2012Metric,327.959272,-213.96814,180.0,top
C142,C,C_0805_2012Metric,206.024265,-193.809304,180.0,top
C143,C,C_0805_2012Metric,236.02475,-198.25505,0.0,top
C144,C,C_0805_2012Metric,354.062332,-150.963676,0.0,top
C145,C,C_0805_2012Metric,346.062332,-153.463676,0.0,top
C146,C,C_0805_2012Metric,279.714,-181.659,90.0,top
C147,C,C_0805_2012Metric,200.309115,-200.298412,0.0,top
C148,C,C_0805_2012Metric,198.224265,-196.259304,180.0,top
C149,C,C_0805_2012Metric,200.474265,-185.259304,-90.0,top
C15,100nF,C_0805_2012Metric,62.0,-166.0,90.0,top
C150,C,C_0805_2012Metric,280.764,-215.959,180.0,top
C151,C,C_0805_2012Metric,198.724265,-181.359304,-90.0,top
C152,C,C_0805_2012Metric,205.024265,-215.509304,180.0,top
C153,C,C_0805_2012Metric,288.934265,-178.084303,0.0,top
C154,C,C_0805_2012Metric,272.964,-207.409,-90.0,top
C155,C,C_0805_2012Metric,238.92475,-188.50505,180.0,top
C156,C,C_0805_2012Metric,248.17475,-205.75505,180.0,top
C157,C,C_0805_2012Metric,241.72475,-181.20505,90.0,top
C158,C,C_0805_2012Metric,222.434265,-175.084303,0.0,top
C159,C,C_0805_2012Metric,251.834265,-178.584303,0.0,top
C16,10nF,C_0805_2012Metric,68.45,-170.0,0.0,top
C160,C,C_0805_2012Metric,243.77475,-193.80505,180.0,top
C161,C,C_0805_2012Metric,327.959272,-215.96814,0.0,top
C162,C,C_0805_2012Metric,259.434265,-175.084303,0.0,top
C163,C,C_0805_2012Metric,290.164,-213.959,180.0,top
C164,C,C_0805_2012Metric,297.934265,-169.584303,0.0,top
C165,C,C_0805_2012Metric,276.914,-188.959,180.0,top
C166,C,C_0805_2012Metric,210.424265,-205.759304,180.0,top
C167,C,C_0805_2012Metric,238.22475,-185.25505,-90.0,top
C168,C,C_0805_2012Metric,238.058508,-200.2879,0.0,top
C169,C,C_0805_2012Metric,273.964,-196.709,180.0,top
C17,100nF,C_0805_2012Metric,68.55,-176.0,180.0,top
C170,C,C_0805_2012Metric,345.462332,-158.463676,180.0,top
C171,C,C_0805_2012Metric,312.259272,-181.81814,-90.0,top
C172,C,C_0805_2012Metric,274.014,-198.709,0.0,top
C173,C,C_0805_2012Metric,202.439462,-196.834869,90.0,top
C174,C,C_0805_2012Metric,286.164,-206.209,180.0,top
C175,C,C_0805_2012Metric,290.164,-215.959,0.0,top
C176,C,C_0805_2012Metric,278.215544,-196.993935,90.0,top
C177,C,C_0805_2012Metric,354.962332,-166.463676,180.0,top
C178,C,C_0805_2012Metric,281.764,-194.259,180.0,top
C179,C,C_0805_2012Metric,197.224265,-206.959304,-90.0,top
C18,22uF,C_0805_2012Metric,68.55,-178.0,180.0,top
C180,C,C_0805_2012Metric,240.186731,-196.815865,90.0,top
